,rank,city,state,population,2000-2013 growth,state_name,lat,lng
0,1,New York,New York,8405837,0.048,New York,40.6943,-73.9249
1,2,Los Angeles,California,3884307,0.048,California,34.114,-118.4068
2,3,Chicago,Illinois,2718782,-0.061,Illinois,41.8373,-87.6861
3,4,Houston,Texas,2195914,0.11,Texas,29.7871,-95.3936
4,5,Philadelphia,Pennsylvania,1553165,0.026,Pennsylvania,40.0076,-75.134
5,6,Phoenix,Arizona,1513367,0.14,Arizona,33.5722,-112.0891
6,7,San Antonio,Texas,1409019,0.21,Texas,29.4722,-98.5247
7,8,San Diego,California,1355896,0.105,California,32.8312,-117.1225
8,9,Dallas,Texas,1257676,0.056,Texas,32.7938,-96.7659
9,10,San Jose,California,998537,0.105,California,37.302,-121.8488
10,11,Austin,Texas,885400,0.317,Texas,30.3038,-97.7545
11,12,Indianapolis,Indiana,843393,0.078,Indiana,39.7771,-86.1458
12,13,Jacksonville,Florida,842583,0.143,Florida,30.3322,-81.6749
13,14,San Francisco,California,837442,0.077,California,37.7561,-122.4429
14,15,Columbus,Ohio,822553,0.148,Ohio,39.9859,-82.9852
15,16,Charlotte,North Carolina,792862,0.391,North Carolina,35.208,-80.8308
16,17,Fort Worth,Texas,792727,0.451,Texas,32.7813,-97.3466
17,18,Detroit,Michigan,688701,-0.271,Michigan,42.3834,-83.1024
18,19,El Paso,Texas,674433,0.194,Texas,31.8478,-106.431
19,20,Memphis,Tennessee,653450,-0.053,Tennessee,35.1047,-89.9773
20,21,Seattle,Washington,652405,0.156,Washington,47.6217,-122.3238
21,22,Denver,Colorado,649495,0.167,Colorado,39.7621,-104.8759
22,23,Washington,District of Columbia,646449,0.13,District of Columbia,38.9047,-77.0163
23,24,Boston,Massachusetts,645966,0.094,Massachusetts,42.3189,-71.0838
24,25,Nashville-Davidson,Tennessee,634464,0.162,,,
25,26,Baltimore,Maryland,622104,-0.04,Maryland,39.3051,-76.6144
26,27,Oklahoma City,Oklahoma,610613,0.202,Oklahoma,35.4677,-97.5138
27,28,Louisville/Jefferson,Kentucky,609893,0.1,,,
28,29,Portland,Oregon,609456,0.15,Oregon,45.5372,-122.65
29,30,Las Vegas,Nevada,603488,0.245,Nevada,36.2288,-115.2603
30,31,Milwaukee,Wisconsin,599164,0.003,Wisconsin,43.064,-87.9669
31,32,Albuquerque,New Mexico,556495,0.235,New Mexico,35.1055,-106.6476
32,33,Tucson,Arizona,526116,0.075,Arizona,32.1558,-110.8777
33,34,Fresno,California,509924,0.183,California,36.7834,-119.7933
34,35,Sacramento,California,479686,0.172,California,38.5666,-121.4683
35,36,Long Beach,California,469428,0.015,California,33.8059,-118.161
36,37,Kansas City,Missouri,467007,0.055,Missouri,39.1239,-94.5541
37,38,Mesa,Arizona,457587,0.135,Arizona,33.4016,-111.718
38,39,Virginia Beach,Virginia,448479,0.051,Virginia,36.7335,-76.0435
39,40,Atlanta,Georgia,447841,0.062,Georgia,33.7627,-84.4231
40,41,Colorado Springs,Colorado,439886,0.214,Colorado,38.8673,-104.7605
41,42,Omaha,Nebraska,434353,0.059,Nebraska,41.2634,-96.0453
42,43,Raleigh,North Carolina,431746,0.487,North Carolina,35.8323,-78.6441
43,44,Miami,Florida,417650,0.149,Florida,25.784,-80.2102
44,45,Oakland,California,406253,0.013,California,37.7903,-122.2165
45,46,Minneapolis,Minnesota,400070,0.045,Minnesota,44.9635,-93.2679
46,47,Tulsa,Oklahoma,398121,0.013,Oklahoma,36.1284,-95.9037
47,48,Cleveland,Ohio,390113,-0.181,Ohio,41.4766,-81.6805
48,49,Wichita,Kansas,386552,0.097,Kansas,37.6894,-97.344
49,50,Arlington,Texas,379577,0.133,Texas,32.6998,-97.1251
50,51,New Orleans,Louisiana,378715,-0.216,Louisiana,30.0687,-89.9288
51,52,Bakersfield,California,363630,0.484,California,35.3528,-119.0354
52,53,Tampa,Florida,352957,0.16,Florida,27.9937,-82.4454
53,54,Honolulu,Hawaii,347884,-0.062,,,
54,55,Aurora,Colorado,345803,0.244,Colorado,39.7085,-104.7274
55,56,Anaheim,California,345012,0.047,California,33.839,-117.8572
56,57,Santa Ana,California,334227,-0.012,California,33.7366,-117.8819
57,58,St. Louis,Missouri,318416,-0.082,,,
58,59,Riverside,California,316619,0.225,California,33.9382,-117.3949
59,60,Corpus Christi,Texas,316381,0.141,Texas,27.7173,-97.3822
60,61,Lexington-Fayette,Kentucky,308428,0.18,,,
61,62,Pittsburgh,Pennsylvania,305841,-0.083,Pennsylvania,40.4396,-79.9763
62,63,Anchorage,Alaska,300950,0.154,Alaska,61.1508,-149.1091
63,64,Stockton,California,298118,0.218,California,37.9766,-121.3111
64,65,Cincinnati,Ohio,297517,-0.101,Ohio,39.1412,-84.506
65,66,St. Paul,Minnesota,294873,0.028,,,
66,67,Toledo,Ohio,282313,-0.1,Ohio,41.6639,-83.582
67,68,Greensboro,North Carolina,279639,0.223,North Carolina,36.096,-79.8275
68,69,Newark,New Jersey,278427,0.021,New Jersey,40.7242,-74.1724
69,70,Plano,Texas,274409,0.224,Texas,33.0502,-96.7487
70,71,Henderson,Nevada,270811,0.51,Nevada,36.0145,-115.0362
71,72,Lincoln,Nebraska,268738,0.18,Nebraska,40.8102,-96.6808
72,73,Buffalo,New York,258959,-0.113,New York,42.9016,-78.8487
73,74,Jersey City,New Jersey,257342,0.072,New Jersey,40.7161,-74.0683
74,75,Chula Vista,California,256780,0.462,California,32.6281,-117.0144
75,76,Fort Wayne,Indiana,256496,0.01,Indiana,41.0885,-85.1436
76,77,Orlando,Florida,255483,0.312,Florida,28.4801,-81.3448
77,78,St. Petersburg,Florida,249688,0.003,,,
78,79,Chandler,Arizona,249146,0.387,Arizona,33.2828,-111.8517
79,80,Laredo,Texas,248142,0.382,Texas,27.5536,-99.489
80,81,Norfolk,Virginia,246139,0.05,Virginia,36.8945,-76.259
81,82,Durham,North Carolina,245475,0.299,North Carolina,35.9801,-78.9045
82,83,Madison,Wisconsin,243344,0.158,Wisconsin,43.0809,-89.3921
83,84,Lubbock,Texas,239538,0.196,Texas,33.5665,-101.8867
84,85,Irvine,California,236716,0.613,California,33.6772,-117.7738
85,86,Winston-Salem,North Carolina,236441,0.169,North Carolina,36.1029,-80.261
86,87,Glendale,Arizona,234632,0.057,Arizona,33.5797,-112.2246
87,88,Garland,Texas,234566,0.085,Texas,32.91,-96.6305
88,89,Hialeah,Florida,233394,0.032,Florida,25.8696,-80.3045
89,90,Reno,Nevada,233294,0.268,Nevada,39.5487,-119.8486
